============== Resource: Michael Jordan ==============
Label: Michael Jordan,		Frequency: 271
Label: Chicago Bulls,		Frequency: 110
Label: NBA,		Frequency: 45
Label: Basketball,		Frequency: 39
Label: Scottie Pippen,		Frequency: 38
Label: San Antonio Spurs,		Frequency: 31
Label: New York Knicks,		Frequency: 30
Label: Los Angeles Lakers,		Frequency: 28
Label: Detroit Pistons,		Frequency: 28
Label: Patrick Ewing,		Frequency: 28
Label: Magic Johnson,		Frequency: 26
Label: Phoenix Suns,		Frequency: 26
Label: Dennis Rodman,		Frequency: 24
Label: Kobe Bryant,		Frequency: 24
Label: Houston Rockets,		Frequency: 23
Label: Karl Malone,		Frequency: 22
Label: Hakeem Olajuwon,		Frequency: 20
Label: Utah Jazz,		Frequency: 19
Label: Larry Bird,		Frequency: 19
Label: Charles Barkley,		Frequency: 19
Label: Miami Heat,		Frequency: 18
Label: Atlanta Hawks,		Frequency: 18
Label: Shaquille O’Neal,		Frequency: 17
Label: Phil Jackson,		Frequency: 17
Label: US-amerikanischer,		Frequency: 15
Label: Indiana Pacers,		Frequency: 15
Label: John Stockton,		Frequency: 14
Label: Portland Trail Blazers,		Frequency: 14
Label: David Robinson,		Frequency: 14
Label: Dallas Mavericks,		Frequency: 14
Label: Kareem Abdul-Jabbar,		Frequency: 14
Label: Cleveland Cavaliers,		Frequency: 14
Label: Tim Duncan,		Frequency: 13
Label: Orlando Magic,		Frequency: 13
Label: Naismith Memorial Basketball Hall of Fame,		Frequency: 13
Label: Boston Celtics,		Frequency: 13
Label: MVP,		Frequency: 13
Label: Dream Team,		Frequency: 12
Label: Golden State Warriors,		Frequency: 12
Label: Play-off,		Frequency: 12
Label: Rookie,		Frequency: 12
Label: Chris Mullin,		Frequency: 12
Label: Seattle SuperSonics,		Frequency: 11
Label: Washington Wizards,		Frequency: 11
Label: Dirk Nowitzki,		Frequency: 10
Label: LeBron James,		Frequency: 10
Label: Wilt Chamberlain,		Frequency: 10
Label: Los Angeles,		Frequency: 10
Label: NBA All-Star Game,		Frequency: 9
Label: All-NBA First Team,		Frequency: 9
Label: Coach of the Year,		Frequency: 9
Label: USA,		Frequency: 9
Label: Gary Payton,		Frequency: 8
Label: Nike,		Frequency: 8
Label: Dominique Wilkins,		Frequency: 8
Label: Milwaukee Bucks,		Frequency: 8
Label: Joe Dumars,		Frequency: 7
Label: Los Angeles Clippers,		Frequency: 7
Label: Philadelphia 76ers,		Frequency: 7
Label: New Jersey Nets,		Frequency: 7
Label: NCAA,		Frequency: 7
Label: James Worthy,		Frequency: 7
Label: Jason Kidd,		Frequency: 7
Label: Power Forward,		Frequency: 7
Label: Lakers,		Frequency: 7
Label: Center,		Frequency: 7
Label: Dunking,		Frequency: 6
Label: New Orleans Hornets,		Frequency: 6
Label: Larry Nance,		Frequency: 6
Label: Michael Jackson,		Frequency: 6
Label: Seattle Supersonics,		Frequency: 6
Label: Charlotte Hornets,		Frequency: 6
Label: NBA All-Rookie Team,		Frequency: 6
Label: Denver Nuggets,		Frequency: 6
Label: Space Jam,		Frequency: 6
Label: Most Valuable Player,		Frequency: 6
Label: Rebounds,		Frequency: 6
Label: Point Guard,		Frequency: 6
Label: Shooting Guard,		Frequency: 6
Label: Toronto Raptors,		Frequency: 6
Label: Grant Hill,		Frequency: 6
Label: NBA All-Defensive First Team,		Frequency: 6
Label: Detlef Schrempf,		Frequency: 6
Label: Eastern Conference,		Frequency: 6
Label: NBA All-Rookie First Team,		Frequency: 6
Label: Duke University,		Frequency: 5
Label: Barcelona 1992,		Frequency: 5
Label: WNBA,		Frequency: 5
Label: Dikembe Mutombo,		Frequency: 5
Label: Saison 2005/06,		Frequency: 5
Label: Christian Laettner,		Frequency: 5
Label: Isiah Thomas,		Frequency: 5
Label: NBA Draft,		Frequency: 5
Label: Robert Horry,		Frequency: 5
Label: Finals MVP,		Frequency: 5
Label: ESPN,		Frequency: 5
Label: Rookie of the Year,		Frequency: 5
Label: Clyde Drexler,		Frequency: 5
Label: Pat Riley,		Frequency: 5
Label: Assist,		Frequency: 5
Label: Reggie Miller,		Frequency: 5
Label: Larry Johnson,		Frequency: 5
Label: Best-of-Seven,		Frequency: 5
Label: Dwight Howard,		Frequency: 5
Label: Minnesota Timberwolves,		Frequency: 5
Label: 1984,		Frequency: 5
Label: Alvin Robertson,		Frequency: 5
Label: 1965,		Frequency: 5
Label: Tony Parker,		Frequency: 4
Label: Vince Carter,		Frequency: 4
Label: Kalifornien,		Frequency: 4
Label: Defensive Player of the Year,		Frequency: 4
Label: Sixth Man of the Year,		Frequency: 4
Label: Olympischen Spielen 1992,		Frequency: 4
Label: Jordan,		Frequency: 4
Label: Sacramento Kings,		Frequency: 4
Label: TNT,		Frequency: 4
Label: Atlanta,		Frequency: 4
Label: Alonzo Mourning,		Frequency: 4
Label: Los Angeles 1984,		Frequency: 4
Label: Barcelona,		Frequency: 4
Label: Rick Barry,		Frequency: 4
Label: Dwyane Wade,		Frequency: 4
Label: Washington Bullets,		Frequency: 4
Label: Slam Dunk Contest,		Frequency: 4
Label: Most Improved Player,		Frequency: 4
Label: Dražen Petrović,		Frequency: 4
Label: Horace Grant,		Frequency: 4
Label: Bob Cousy,		Frequency: 4
Label: Julius Erving,		Frequency: 4
Label: 2004,		Frequency: 4
Label: 2003,		Frequency: 4
Label: Jerry West,		Frequency: 4
Label: Sam Perkins,		Frequency: 4
Label: Volleyball,		Frequency: 4
Label: 1990,		Frequency: 4
Label: 1986,		Frequency: 4
Label: 1987,		Frequency: 4
Label: 1989,		Frequency: 4
Label: 1992,		Frequency: 4
Label: Tim Hardaway,		Frequency: 4
Label: 1994,		Frequency: 4
Label: 1999,		Frequency: 4
Label: Angola,		Frequency: 4
Label: Jerry Sloan,		Frequency: 4
Label: Anfernee Hardaway,		Frequency: 4
Label: 1963,		Frequency: 4
Label: Olympischen Spielen,		Frequency: 3
Label: Europa,		Frequency: 3
Label: University of North Carolina,		Frequency: 3
Label: Emeka Okafor,		Frequency: 3
Label: Buck Williams,		Frequency: 3
Label: New York City,		Frequency: 3
Label: Mitch Richmond,		Frequency: 3
Label: Brasilien,		Frequency: 3
Label: Forward,		Frequency: 3
Label: Ohio,		Frequency: 3
Label: Western Conference,		Frequency: 3
Label: Dan Majerle,		Frequency: 3
Label: Rebound,		Frequency: 3
Label: triple-double,		Frequency: 3
Label: Playoff,		Frequency: 3
Label: Philadelphia,		Frequency: 3
Label: Pennsylvania,		Frequency: 3
Label: Playoffs,		Frequency: 3
Label: Air Jordan,		Frequency: 3
Label: Eishockey,		Frequency: 3
Label: Nicolas Mahler,		Frequency: 3
Label: Kirk Hinrich,		Frequency: 3
Label: 17. Februar,		Frequency: 3
Label: David Stern,		Frequency: 3
Label: Franchise,		Frequency: 3
Label: Jugoslawien,		Frequency: 3
Label: 18. Februar,		Frequency: 3
Label: Larry Brown,		Frequency: 3
Label: Shawn Kemp,		Frequency: 3
Label: Kevin Garnett,		Frequency: 3
Label: Lockout,		Frequency: 3
Label: Memphis Grizzlies,		Frequency: 3
Label: Tom Chambers,		Frequency: 3
Label: New York,		Frequency: 3
Label: Chicago,		Frequency: 3
Label: Malone,		Frequency: 3
Label: 16. Februar,		Frequency: 3
Label: Doc Rivers,		Frequency: 3
Label: NBA-Draft 1993,		Frequency: 3
Label: Illinois,		Frequency: 3
Label: Shawn Bradley,		Frequency: 3
Label: Vereinigte Staaten,		Frequency: 3
Label: All-Star Game,		Frequency: 3
Label: NBC,		Frequency: 3
Label: Kevin McHale,		Frequency: 3
Label: Mark Price,		Frequency: 3
Label: Houston,		Frequency: 3
Label: Jeff Hornacek,		Frequency: 3
Label: 1972,		Frequency: 3
Label: Highschool,		Frequency: 3
Label: 1985,		Frequency: 3
Label: 1996,		Frequency: 3
Label: 1991,		Frequency: 3
Label: 1993,		Frequency: 3
Label: NBA Draft 2004,		Frequency: 3
Label: Washington, D.C.,		Frequency: 3
Label: New Jersey,		Frequency: 3
Label: Sportler des Jahres,		Frequency: 3
Label: Madison Square Garden,		Frequency: 3
Label: High School,		Frequency: 3
Label: 1962,		Frequency: 3
Label: 1961,		Frequency: 3
Label: Dolph Schayes,		Frequency: 2
Label: Ray Allen,		Frequency: 2
Label: NBA Most Valuable Player Award,		Frequency: 2
Label: Auszeit,		Frequency: 2
Label: Pippen,		Frequency: 2
Label: Fernando Romay,		Frequency: 2
Label: Baseball,		Frequency: 2
Label: Pelé,		Frequency: 2
Label: American Airlines Arena,		Frequency: 2
Label: Cedric Ceballos,		Frequency: 2
Label: Connecticut,		Frequency: 2
Label: Anthony Mason,		Frequency: 2
Label: Benoit Benjamin,		Frequency: 2
Label: FIBA,		Frequency: 2
Label: Aaron Williams,		Frequency: 2
Label: Osten,		Frequency: 2
Label: Malcolm X,		Frequency: 2
Label: Doug Christie,		Frequency: 2
Label: Kerstin Monica Äijä Lenndin,		Frequency: 2
Label: Gerhard Haderer,		Frequency: 2
Label: Westen,		Frequency: 2
Label: ABC,		Frequency: 2
Label: Steve Timmons,		Frequency: 2
Label: Olympischen Spielen 1984,		Frequency: 2
Label: Vlade Divac,		Frequency: 2
Label: Fernando Martín,		Frequency: 2
Label: Bill Russell,		Frequency: 2
Label: National Basketball Association,		Frequency: 2
Label: Saison 1998/99,		Frequency: 2
Label: Triple Double,		Frequency: 2
Label: Schauspieler,		Frequency: 2
Label: Regular Season,		Frequency: 2
