============== Resource: 纽约州 ==============
Label: 紐約州,		Frequency: 824
Label: 纽约州,		Frequency: 751
Label: 美國,		Frequency: 444
Label: 美国,		Frequency: 409
Label: 纽约市,		Frequency: 149
Label: 紐約市,		Frequency: 117
Label: 俄亥俄州,		Frequency: 108
Label: 美國2000年人口普查,		Frequency: 98
Label: 紐約,		Frequency: 80
Label: 加拿大,		Frequency: 80
Label: 新泽西州,		Frequency: 68
Label: 宾夕法尼亚州,		Frequency: 67
Label: 加利福尼亚州,		Frequency: 67
Label: 水牛城,		Frequency: 66
Label: 賓夕法尼亞州,		Frequency: 59
Label: 加州,		Frequency: 59
Label: 新澤西州,		Frequency: 56
Label: 佛蒙特州,		Frequency: 52
Label: 弗吉尼亚州,		Frequency: 46
Label: 康涅狄格州,		Frequency: 43
Label: 马萨诸塞州,		Frequency: 42
Label: 密歇根州,		Frequency: 42
Label: 布鲁克林区,		Frequency: 41
Label: 纽约,		Frequency: 39
Label: 英國,		Frequency: 38
Label: 曼哈頓,		Frequency: 38
Label: 2000年,		Frequency: 38
Label: 馬里蘭州,		Frequency: 36
Label: 麻薩諸塞州,		Frequency: 36
Label: 康乃狄克州,		Frequency: 34
Label: 芝加哥,		Frequency: 33
Label: 新罕布什尔州,		Frequency: 32
Label: 德国,		Frequency: 32
Label: 加利福尼亞州,		Frequency: 32
Label: 哈德遜河,		Frequency: 30
Label: 密西根州,		Frequency: 30
Label: 马里兰州,		Frequency: 29
Label: 安大略省,		Frequency: 28
Label: 布魯克林,		Frequency: 28
Label: 佛罗里达州,		Frequency: 28
Label: 長島,		Frequency: 28
Label: 威斯康辛州,		Frequency: 27
Label: 紐澤西州,		Frequency: 27
Label: 肯塔基州,		Frequency: 27
Label: 佛羅里達州,		Frequency: 27
Label: 密蘇里州,		Frequency: 27
Label: 立法會,		Frequency: 26
Label: 英国,		Frequency: 26
Label: 缅因州,		Frequency: 26
Label: 眾議員,		Frequency: 26
Label: 伊萨卡,		Frequency: 26
Label: 伊利諾州,		Frequency: 25
Label: 密西西比州,		Frequency: 25
Label: 大西洋,		Frequency: 25
Label: 德克萨斯州,		Frequency: 25
Label: 伊利诺伊州,		Frequency: 24
Label: 明尼蘇達州,		Frequency: 23
Label: 北美洲,		Frequency: 23
Label: 新洋基球場,		Frequency: 22
Label: 法國,		Frequency: 22
Label: 布朗克斯,		Frequency: 22
Label: 中国,		Frequency: 21
Label: 田纳西州,		Frequency: 21
Label: 維吉尼亞州,		Frequency: 21
Label: 安大略,		Frequency: 21
Label: 華盛頓州,		Frequency: 21
Label: 緬因州,		Frequency: 21
Label: 喬治亞州,		Frequency: 21
