============== Resource: 迈克尔·乔丹 ==============
Label: 波士顿凯尔特人,		Frequency: 165
Label: 洛杉矶湖人,		Frequency: 156
Label: 迈克尔·乔丹,		Frequency: 137
Label: 费城76人,		Frequency: 93
Label: 芝加哥公牛,		Frequency: 87
Label: 圣安东尼奥马刺,		Frequency: 80
Label: 犹他爵士,		Frequency: 76
Label: 菲尼克斯太阳,		Frequency: 76
Label: 纽约尼克斯,		Frequency: 71
Label: 底特律活塞,		Frequency: 65
Label: 西雅图超音速,		Frequency: 55
Label: 休斯敦火箭,		Frequency: 55
Label: 费城勇士,		Frequency: 42
Label: 密尔沃基雄鹿,		Frequency: 42
Label: 明尼阿波利斯湖人,		Frequency: 40
Label: 奥兰多魔术,		Frequency: 39
Label: NBA,		Frequency: 39
Label: 辛辛那提皇家,		Frequency: 38
Label: 金州勇士,		Frequency: 34
Label: 锡拉丘兹民族,		Frequency: 34
Label: 亚特兰大鹰,		Frequency: 31
Label: 圣路易斯老鹰,		Frequency: 30
Label: 迈阿密热,		Frequency: 27
Label: 丹佛掘金,		Frequency: 27
Label: 达拉斯小牛,		Frequency: 27
Label: 波特兰开拓者,		Frequency: 26
Label: 华盛顿子弹,		Frequency: 24
Label: 萨克拉门托国王,		Frequency: 23
Label: 罗彻斯特皇家,		Frequency: 22
Label: 查尔斯·巴克利,		Frequency: 22
Label: 麥可·喬丹,		Frequency: 22
Label: 克利夫兰骑士,		Frequency: 22
Label: 卡尔·马龙,		Frequency: 22
Label: 拉里·伯德,		Frequency: 19
Label: 芝加哥公牛队,		Frequency: 19
Label: 新泽西网,		Frequency: 19
Label: 麥可·喬登,		Frequency: 18
Label: 巴尔的摩子弹,		Frequency: 18
Label: 明尼苏达森林狼,		Frequency: 18
Label: 休斯顿火箭,		Frequency: 17
Label: 俄克拉荷馬城雷霆,		Frequency: 15
Label: 米高·佐敦,		Frequency: 15
Label: 蒂姆·邓肯,		Frequency: 15
Label: 埃尔文·约翰逊,		Frequency: 14
Label: 华盛顿国会,		Frequency: 14
Label: 科比·布莱恩特,		Frequency: 14
Label: 印第安纳步行者,		Frequency: 14
Label: 斯科蒂·皮蓬,		Frequency: 14
Label: 邁克爾·喬丹,		Frequency: 14
Label: 帕特里克·尤因,		Frequency: 13
Label: 沙奎尔·奥尼尔,		Frequency: 13
Label: 哈基姆·奥拉朱旺,		Frequency: 13
Label: 美国,		Frequency: 13
Label: 大卫·罗宾逊,		Frequency: 13
Label: 洛杉矶湖人队,		Frequency: 13
Label: 东部联盟,		Frequency: 13
Label: 约翰·斯托克顿,		Frequency: 12
Label: 芝加哥公牛隊,		Frequency: 12
Label: 迈阿密热火,		Frequency: 12
Label: 洛杉矶快船,		Frequency: 12
Label: 文斯·卡特,		Frequency: 12
Label: 波士顿凯尔特人队,		Frequency: 11
Label: 比尔·拉塞尔,		Frequency: 11
Label: 夏洛特山猫,		Frequency: 11
Label: 勒布朗·詹姆斯,		Frequency: 11
Label: 卡里姆·阿卜杜勒·贾巴尔,		Frequency: 11
Label: 洛杉磯湖人隊,		Frequency: 10
Label: 韦恩堡活塞,		Frequency: 10
Label: 芝加哥牡鹿,		Frequency: 10
Label: 斯科特·皮蓬,		Frequency: 10
Label: 西部联盟,		Frequency: 10
Label: 魔术师约翰逊,		Frequency: 9
Label: 洛杉磯湖人,		Frequency: 9
Label: 2005年,		Frequency: 9
Label: 中鋒,		Frequency: 9
Label: 阿基姆·奥拉朱旺,		Frequency: 9
Label: 中國籍,		Frequency: 8
Label: 2003年,		Frequency: 8
Label: 2004年,		Frequency: 8
Label: 2000年,		Frequency: 8
Label: NBA50大巨星,		Frequency: 8
Label: 1998年,		Frequency: 8
Label: 1984年,		Frequency: 8
Label: 丹尼斯·罗德曼,		Frequency: 8
Label: 克里斯·穆林,		Frequency: 8
Label: 卡爾·馬龍,		Frequency: 8
Label: 達拉斯小牛,		Frequency: 8
Label: 篮球,		Frequency: 8
Label: 印第安纳波利斯奥林匹亚,		Frequency: 8
Label: 新奥尔良黄蜂,		Frequency: 8
Label: 新奥尔良爵士,		Frequency: 8
Label: 圣安东尼奥马刺队,		Frequency: 8
Label: 菲尔·杰克逊,		Frequency: 8
Label: 旧金山勇士,		Frequency: 8
Label: 紐約尼克,		Frequency: 8
Label: 克莱德·德雷克斯勒,		Frequency: 7
Label: 聖安東尼奧馬刺,		Frequency: 7
Label: 多伦多猛龙,		Frequency: 7
Label: NBA總決賽,		Frequency: 7
Label: 摩西·马龙,		Frequency: 7
Label: 選秀會,		Frequency: 7
Label: 格兰特·希尔,		Frequency: 7
Label: 华盛顿奇才,		Frequency: 7
Label: 德怀特·霍华德,		Frequency: 7
Label: 特雷西·麦克格雷迪,		Frequency: 7
Label: 加里·佩顿,		Frequency: 7
Label: 休斯敦火箭队,		Frequency: 6
Label: 凯文·加内特,		Frequency: 6
Label: 耐克,		Frequency: 6
Label: 本·戈登,		Frequency: 6
Label: 美國,		Frequency: 6
Label: NBA總冠軍,		Frequency: 6
Label: 鲍勃·佩蒂特,		Frequency: 6
Label: 杰里·韦斯特,		Frequency: 6
