============== Resource: Michael Jordan ==============
Word: michael,		Frequency: 2903
Word: jordan,		Frequency: 2867
Word: bulls,		Frequency: 955
Word: chicago,		Frequency: 822
Word: spieler,		Frequency: 314
Word: nba,		Frequency: 289
Word: basketballspieler,		Frequency: 265
Word: basketball,		Frequency: 246
Word: scottie,		Frequency: 216
Word: johnson,		Frequency: 196
Word: pippen,		Frequency: 194
Word: saison,		Frequency: 175
Word: spiel,		Frequency: 169
Word: mullin,		Frequency: 165
Word: larry,		Frequency: 160
Word: chris,		Frequency: 154
Word: patrick,		Frequency: 143
Word: team,		Frequency: 137
Word: ewing,		Frequency: 132
Word: john,		Frequency: 131
Word: spielen,		Frequency: 127
Word: anderem,		Frequency: 123
Word: punkten,		Frequency: 120
Word: punkte,		Frequency: 119
Word: superstar,		Frequency: 118
Word: jackson,		Frequency: 117
Word: bird,		Frequency: 116
Word: magic,		Frequency: 110
Word: nike,		Frequency: 110
Word: stockton,		Frequency: 109
Word: bryant,		Frequency: 105
Word: kobe,		Frequency: 105
Word: mal,		Frequency: 99
Word: spielte,		Frequency: 98
Word: charles,		Frequency: 98
Word: valuable,		Frequency: 98
Word: rodman,		Frequency: 95
Word: gelang,		Frequency: 88
Word: player,		Frequency: 88
Word: barkley,		Frequency: 87
Word: earvin,		Frequency: 86
Word: gewann,		Frequency: 85
Word: jam,		Frequency: 83
Word: gewinnen,		Frequency: 77
Word: sam,		Frequency: 77
Word: robertson,		Frequency: 77
Word: rücktritt,		Frequency: 77
Word: erneut,		Frequency: 77
Word: erzielte,		Frequency: 76
Word: superstars,		Frequency: 75
Word: james,		Frequency: 74
Word: dennis,		Frequency: 73
Word: space,		Frequency: 72
Word: finals,		Frequency: 66
Word: unternehmen,		Frequency: 66
Word: playoffs,		Frequency: 66
Word: traf,		Frequency: 66
Word: rebounds,		Frequency: 66
Word: spielern,		Frequency: 66
Word: jerry,		Frequency: 66
Word: wizards,		Frequency: 66
Word: kareem,		Frequency: 66
Word: letzten,		Frequency: 65
Word: mvp,		Frequency: 65
Word: dream,		Frequency: 64
Word: sommerspiele,		Frequency: 64
Word: erreichte,		Frequency: 63
Word: karl,		Frequency: 55
Word: mannschaft,		Frequency: 55
Word: gemeinsam,		Frequency: 55
Word: rekord,		Frequency: 55
