============== Resource: 迈克尔·乔丹 ==============
Word: bgcolor,		Frequency: 6457
Word: ffff,		Frequency: 4312
Word: cfecec,		Frequency: 2145
Word: nba,		Frequency: 1509
Word: 洛杉矶,		Frequency: 1219
Word: 凯尔特人,		Frequency: 979
Word: 波士顿,		Frequency: 979
Word: 芝加哥,		Frequency: 938
Word: style,		Frequency: 726
Word: black,		Frequency: 715
Word: solid,		Frequency: 715
Word: 萨克拉门托,		Frequency: 517
Word: rowspan,		Frequency: 517
Word: 华盛顿,		Frequency: 475
Word: align,		Frequency: 462
Word: center,		Frequency: 462
Word: mvp,		Frequency: 443
Word: 圣安东尼奥,		Frequency: 418
Word: 菲尼克斯,		Frequency: 418
Word: 底特律,		Frequency: 385
Word: 亚特兰大,		Frequency: 341
Word: 尼克斯,		Frequency: 336
Word: 休斯敦,		Frequency: 319
Word: 约翰逊,		Frequency: 284
Word: 超音速,		Frequency: 253
Word: 西雅图,		Frequency: 253
Word: 密尔沃基,		Frequency: 253
Word: 圣路易斯,		Frequency: 231
Word: 辛辛那提,		Frequency: 231
Word: 明星赛,		Frequency: 229
Word: 明尼阿波利斯湖人,		Frequency: 220
Word: 公牛队,		Frequency: 201
Word: 锡拉丘兹,		Frequency: 187
Word: 奥兰多,		Frequency: 187
Word: jordan,		Frequency: 177
Word: 迈阿密,		Frequency: 176
Word: 魔术师,		Frequency: 168
Word: 新奥尔良,		Frequency: 143
Word: 达拉斯,		Frequency: 132
Word: 沃尔特,		Frequency: 132
Word: 罗彻斯特,		Frequency: 121
Word: 明尼苏达,		Frequency: 121
Word: 巴尔的摩,		Frequency: 121
Word: 克利夫兰,		Frequency: 121
Word: 埃尔金,		Frequency: 121
Word: michael,		Frequency: 118
Word: 波特兰,		Frequency: 110
Word: 湖人队,		Frequency: 108
Word: 开拓者,		Frequency: 99
Word: 运动员,		Frequency: 89
Word: 新泽西,		Frequency: 88
Word: 多米尼克,		Frequency: 87
Word: 夏洛特,		Frequency: 85
Word: 威尔金斯,		Frequency: 77
Word: 步行者,		Frequency: 77
Word: 印第安纳,		Frequency: 77
Word: 荷馬城,		Frequency: 66
Word: 张伯伦,		Frequency: 66
Word: 安东尼,		Frequency: 66
Word: 戴维斯,		Frequency: 66
Word: 弗雷泽,		Frequency: 66
Word: 三分球,		Frequency: 66
Word: 霍华德,		Frequency: 66
Word: 克里斯,		Frequency: 66
Word: 詹姆斯,		Frequency: 63
Word: 堪萨斯城,		Frequency: 55
Word: 博尔德,		Frequency: 55
Word: 威利斯,		Frequency: 55
Word: 韦恩堡,		Frequency: 55
Word: 印第安纳波利斯,		Frequency: 44
Word: 轰炸机,		Frequency: 44
Word: 奥林匹亚,		Frequency: 44
Word: 旧金山,		Frequency: 44
Word: 布法罗,		Frequency: 44
Word: 莫里斯,		Frequency: 44
Word: 魔術強森,		Frequency: 44
Word: 老鹰队,		Frequency: 44
Word: 總決賽,		Frequency: 42
Word: 奇才队,		Frequency: 41
Word: 代言人,		Frequency: 33
Word: 價值球員,		Frequency: 33
Word: 成為繼,		Frequency: 33
Word: bba,		Frequency: 33
Word: 火箭队,		Frequency: 33
Word: 達拉斯,		Frequency: 33
Word: 福尔克斯,		Frequency: 33
Word: 公牛隊,		Frequency: 33
Word: 斯托克斯,		Frequency: 33
Word: 運動畫刊,		Frequency: 33
Word: 太阳队,		Frequency: 33
Word: 運動員,		Frequency: 33
Word: width,		Frequency: 33
Word: 坎宁安,		Frequency: 33
Word: 麥可喬丹,		Frequency: 33
Word: 雄鹿队,		Frequency: 33
Word: 扣篮王,		Frequency: 33
Word: 马刺队,		Frequency: 33
Word: colspan,		Frequency: 33
Word: 紐約尼克,		Frequency: 33
Word: 多伦多,		Frequency: 33
Word: 韦斯特法尔,		Frequency: 33
Word: 拓荒者,		Frequency: 30
Word: 山貓隊,		Frequency: 30
Word: 波特蘭,		Frequency: 30
Word: 明星队,		Frequency: 30
Word: 休士頓,		Frequency: 30
Word: sam,		Frequency: 28
Word: nba选秀,		Frequency: 27
Word: air,		Frequency: 24
Word: 選擇這個號碼,		Frequency: 22
Word: 明星賽,		Frequency: 22
Word: 爵士队,		Frequency: 22
Word: 亞特蘭大老鷹,		Frequency: 22
Word: 二勝四,		Frequency: 22
